,Number of combinations,Conditions,Loan,No Loan,Conversion Ratio
1946,3.0,(df['Family'] >= 2) & (df['Education'] >= 3) & (df['Age'] >= 58.0),31.0,184.0,14.418604651162791
1947,3.0,(df['Family'] >= 2) & (df['Education'] >= 3) & (df['Age'] >= 63.0),13.0,66.0,16.455696202531644
1948,3.0,(df['Family'] >= 3) & (df['Education'] >= 1) & (df['Age'] >= 22.0),267.0,1965.0,11.96236559139785
1949,3.0,(df['Family'] >= 3) & (df['Education'] >= 1) & (df['Age'] >= 27.0),260.0,1879.0,12.155212716222534
1950,3.0,(df['Family'] >= 3) & (df['Education'] >= 1) & (df['Age'] >= 32.0),220.0,1639.0,11.834319526627219
1951,3.0,(df['Family'] >= 3) & (df['Education'] >= 1) & (df['Age'] >= 36.0),193.0,1420.0,11.965282083075016
1952,3.0,(df['Family'] >= 3) & (df['Education'] >= 1) & (df['Age'] >= 41.0),163.0,1197.0,11.98529411764706
1953,3.0,(df['Family'] >= 3) & (df['Education'] >= 1) & (df['Age'] >= 45.0),133.0,998.0,11.75950486295314
1954,3.0,(df['Family'] >= 3) & (df['Education'] >= 1) & (df['Age'] >= 49.0),102.0,826.0,10.991379310344827
1955,3.0,(df['Family'] >= 3) & (df['Education'] >= 1) & (df['Age'] >= 54.0),72.0,609.0,10.572687224669604
1956,3.0,(df['Family'] >= 3) & (df['Education'] >= 1) & (df['Age'] >= 58.0),46.0,376.0,10.90047393364929
1957,3.0,(df['Family'] >= 3) & (df['Education'] >= 1) & (df['Age'] >= 63.0),19.0,113.0,14.393939393939394
1958,3.0,(df['Family'] >= 3) & (df['Education'] >= 2) & (df['Age'] >= 22.0),187.0,1284.0,12.712440516655338
1959,3.0,(df['Family'] >= 3) & (df['Education'] >= 2) & (df['Age'] >= 27.0),180.0,1237.0,12.70289343683839
1960,3.0,(df['Family'] >= 3) & (df['Education'] >= 2) & (df['Age'] >= 32.0),151.0,1070.0,12.366912366912366
1961,3.0,(df['Family'] >= 3) & (df['Education'] >= 2) & (df['Age'] >= 36.0),128.0,956.0,11.808118081180812
1962,3.0,(df['Family'] >= 3) & (df['Education'] >= 2) & (df['Age'] >= 41.0),110.0,799.0,12.101210121012102
1963,3.0,(df['Family'] >= 3) & (df['Education'] >= 2) & (df['Age'] >= 45.0),94.0,666.0,12.368421052631579
1964,3.0,(df['Family'] >= 3) & (df['Education'] >= 2) & (df['Age'] >= 49.0),71.0,555.0,11.341853035143771
1965,3.0,(df['Family'] >= 3) & (df['Education'] >= 2) & (df['Age'] >= 54.0),50.0,408.0,10.91703056768559
1966,3.0,(df['Family'] >= 3) & (df['Education'] >= 2) & (df['Age'] >= 58.0),34.0,257.0,11.683848797250858
1967,3.0,(df['Family'] >= 3) & (df['Education'] >= 2) & (df['Age'] >= 63.0),13.0,91.0,12.5
1968,3.0,(df['Family'] >= 3) & (df['Education'] >= 3) & (df['Age'] >= 22.0),95.0,564.0,14.41578148710167
1969,3.0,(df['Family'] >= 3) & (df['Education'] >= 3) & (df['Age'] >= 27.0),93.0,540.0,14.691943127962084
1970,3.0,(df['Family'] >= 3) & (df['Education'] >= 3) & (df['Age'] >= 32.0),78.0,472.0,14.181818181818182
1971,3.0,(df['Family'] >= 3) & (df['Education'] >= 3) & (df['Age'] >= 36.0),65.0,433.0,13.052208835341366
1972,3.0,(df['Family'] >= 3) & (df['Education'] >= 3) & (df['Age'] >= 41.0),56.0,353.0,13.691931540342297
1973,3.0,(df['Family'] >= 3) & (df['Education'] >= 3) & (df['Age'] >= 45.0),50.0,276.0,15.337423312883436
1974,3.0,(df['Family'] >= 3) & (df['Education'] >= 3) & (df['Age'] >= 49.0),37.0,237.0,13.503649635036496
1975,3.0,(df['Family'] >= 3) & (df['Education'] >= 3) & (df['Age'] >= 54.0),25.0,186.0,11.848341232227488
1976,3.0,(df['Family'] >= 3) & (df['Education'] >= 3) & (df['Age'] >= 58.0),17.0,111.0,13.28125
1977,3.0,(df['Family'] >= 3) & (df['Education'] >= 3) & (df['Age'] >= 63.0),6.0,38.0,13.636363636363635
1978,3.0,(df['Family'] >= 4) & (df['Education'] >= 1) & (df['Age'] >= 22.0),134.0,1088.0,10.965630114566286
1979,3.0,(df['Family'] >= 4) & (df['Education'] >= 1) & (df['Age'] >= 27.0),132.0,1030.0,11.359724612736661
1980,3.0,(df['Family'] >= 4) & (df['Education'] >= 1) & (df['Age'] >= 32.0),114.0,861.0,11.692307692307692
1981,3.0,(df['Family'] >= 4) & (df['Education'] >= 1) & (df['Age'] >= 36.0),102.0,723.0,12.363636363636363
1982,3.0,(df['Family'] >= 4) & (df['Education'] >= 1) & (df['Age'] >= 41.0),85.0,606.0,12.301013024602025
1983,3.0,(df['Family'] >= 4) & (df['Education'] >= 1) & (df['Age'] >= 45.0),75.0,525.0,12.5
1984,3.0,(df['Family'] >= 4) & (df['Education'] >= 1) & (df['Age'] >= 49.0),56.0,443.0,11.22244488977956
1985,3.0,(df['Family'] >= 4) & (df['Education'] >= 1) & (df['Age'] >= 54.0),40.0,302.0,11.695906432748536
1986,3.0,(df['Family'] >= 4) & (df['Education'] >= 1) & (df['Age'] >= 58.0),25.0,178.0,12.31527093596059
1987,3.0,(df['Family'] >= 4) & (df['Education'] >= 1) & (df['Age'] >= 63.0),11.0,56.0,16.417910447761194
1988,3.0,(df['Family'] >= 4) & (df['Education'] >= 2) & (df['Age'] >= 22.0),94.0,716.0,11.604938271604938
1989,3.0,(df['Family'] >= 4) & (df['Education'] >= 2) & (df['Age'] >= 27.0),92.0,691.0,11.749680715197956
1990,3.0,(df['Family'] >= 4) & (df['Education'] >= 2) & (df['Age'] >= 32.0),77.0,566.0,11.975116640746501
1991,3.0,(df['Family'] >= 4) & (df['Education'] >= 2) & (df['Age'] >= 36.0),66.0,480.0,12.087912087912088
1992,3.0,(df['Family'] >= 4) & (df['Education'] >= 2) & (df['Age'] >= 41.0),55.0,396.0,12.195121951219512
1993,3.0,(df['Family'] >= 4) & (df['Education'] >= 2) & (df['Age'] >= 45.0),50.0,349.0,12.531328320802004
1994,3.0,(df['Family'] >= 4) & (df['Education'] >= 2) & (df['Age'] >= 49.0),35.0,297.0,10.542168674698797
1995,3.0,(df['Family'] >= 4) & (df['Education'] >= 2) & (df['Age'] >= 54.0),25.0,213.0,10.504201680672269
1996,3.0,(df['Family'] >= 4) & (df['Education'] >= 2) & (df['Age'] >= 58.0),16.0,127.0,11.188811188811188
1997,3.0,(df['Family'] >= 4) & (df['Education'] >= 2) & (df['Age'] >= 63.0),6.0,55.0,9.836065573770492
1998,3.0,(df['Family'] >= 4) & (df['Education'] >= 3) & (df['Age'] >= 22.0),46.0,335.0,12.073490813648293
1999,3.0,(df['Family'] >= 4) & (df['Education'] >= 3) & (df['Age'] >= 27.0),46.0,320.0,12.568306010928962
2000,3.0,(df['Family'] >= 4) & (df['Education'] >= 3) & (df['Age'] >= 32.0),38.0,264.0,12.582781456953644
2001,3.0,(df['Family'] >= 4) & (df['Education'] >= 3) & (df['Age'] >= 36.0),31.0,232.0,11.787072243346007
2002,3.0,(df['Family'] >= 4) & (df['Education'] >= 3) & (df['Age'] >= 41.0),26.0,186.0,12.264150943396226
2003,3.0,(df['Family'] >= 4) & (df['Education'] >= 3) & (df['Age'] >= 45.0),23.0,158.0,12.70718232044199
2004,3.0,(df['Family'] >= 4) & (df['Education'] >= 3) & (df['Age'] >= 49.0),15.0,123.0,10.869565217391305
2005,3.0,(df['Family'] >= 4) & (df['Education'] >= 3) & (df['Age'] >= 54.0),11.0,83.0,11.702127659574469
2006,3.0,(df['Family'] >= 4) & (df['Education'] >= 3) & (df['Age'] >= 58.0),7.0,39.0,15.217391304347828
2007,3.0,(df['Family'] >= 4) & (df['Education'] >= 3) & (df['Age'] >= 63.0),3.0,19.0,13.636363636363635
2008,3.0,(df['Family'] >= 1) & (df['Education'] >= 1) & (df['Experience'] >= 0.0),480.0,4520.0,9.6
2009,3.0,(df['Family'] >= 1) & (df['Education'] >= 1) & (df['Experience'] >= 5.0),430.0,4103.0,9.485991617030665
2010,3.0,(df['Family'] >= 1) & (df['Education'] >= 1) & (df['Experience'] >= 10.0),354.0,3527.0,9.121360474104613
2011,3.0,(df['Family'] >= 1) & (df['Education'] >= 1) & (df['Experience'] >= 14.0),307.0,3121.0,8.95565927654609
2012,3.0,(df['Family'] >= 1) & (df['Education'] >= 1) & (df['Experience'] >= 19.0),260.0,2533.0,9.308986752595775
2013,3.0,(df['Family'] >= 1) & (df['Education'] >= 1) & (df['Experience'] >= 24.0),192.0,1885.0,9.244102070293692
2014,3.0,(df['Family'] >= 1) & (df['Education'] >= 1) & (df['Experience'] >= 29.0),135.0,1272.0,9.594882729211088
2015,3.0,(df['Family'] >= 1) & (df['Education'] >= 1) & (df['Experience'] >= 33.0),84.0,815.0,9.343715239154617
2016,3.0,(df['Family'] >= 1) & (df['Education'] >= 1) & (df['Experience'] >= 38.0),29.0,255.0,10.211267605633804
2017,3.0,(df['Family'] >= 1) & (df['Education'] >= 2) & (df['Experience'] >= 0.0),387.0,2517.0,13.326446280991735
2018,3.0,(df['Family'] >= 1) & (df['Education'] >= 2) & (df['Experience'] >= 5.0),346.0,2281.0,13.17091739626951
2019,3.0,(df['Family'] >= 1) & (df['Education'] >= 2) & (df['Experience'] >= 10.0),280.0,1981.0,12.38390092879257
2020,3.0,(df['Family'] >= 1) & (df['Education'] >= 2) & (df['Experience'] >= 14.0),242.0,1752.0,12.13640922768305
2021,3.0,(df['Family'] >= 1) & (df['Education'] >= 2) & (df['Experience'] >= 19.0),208.0,1423.0,12.752912323727776
2022,3.0,(df['Family'] >= 1) & (df['Education'] >= 2) & (df['Experience'] >= 24.0),155.0,1083.0,12.520193861066236
2023,3.0,(df['Family'] >= 1) & (df['Education'] >= 2) & (df['Experience'] >= 29.0),109.0,709.0,13.32518337408313
2024,3.0,(df['Family'] >= 1) & (df['Education'] >= 2) & (df['Experience'] >= 33.0),67.0,441.0,13.188976377952756
2025,3.0,(df['Family'] >= 1) & (df['Education'] >= 2) & (df['Experience'] >= 38.0),20.0,156.0,11.363636363636363
2026,3.0,(df['Family'] >= 1) & (df['Education'] >= 3) & (df['Experience'] >= 0.0),205.0,1296.0,13.657561625582945
2027,3.0,(df['Family'] >= 1) & (df['Education'] >= 3) & (df['Experience'] >= 5.0),187.0,1180.0,13.679590343818582
2028,3.0,(df['Family'] >= 1) & (df['Education'] >= 3) & (df['Experience'] >= 10.0),148.0,1050.0,12.353923205342237
2029,3.0,(df['Family'] >= 1) & (df['Education'] >= 3) & (df['Experience'] >= 14.0),128.0,945.0,11.929170549860205
2030,3.0,(df['Family'] >= 1) & (df['Education'] >= 3) & (df['Experience'] >= 19.0),112.0,751.0,12.977983777520278
2031,3.0,(df['Family'] >= 1) & (df['Education'] >= 3) & (df['Experience'] >= 24.0),82.0,565.0,12.673879443585781
2032,3.0,(df['Family'] >= 1) & (df['Education'] >= 3) & (df['Experience'] >= 29.0),58.0,377.0,13.333333333333334
2033,3.0,(df['Family'] >= 1) & (df['Education'] >= 3) & (df['Experience'] >= 33.0),35.0,230.0,13.20754716981132
2034,3.0,(df['Family'] >= 1) & (df['Education'] >= 3) & (df['Experience'] >= 38.0),10.0,78.0,11.363636363636363
2035,3.0,(df['Family'] >= 2) & (df['Education'] >= 1) & (df['Experience'] >= 0.0),373.0,3155.0,10.572562358276643
2036,3.0,(df['Family'] >= 2) & (df['Education'] >= 1) & (df['Experience'] >= 5.0),333.0,2830.0,10.527979766044893
2037,3.0,(df['Family'] >= 2) & (df['Education'] >= 1) & (df['Experience'] >= 10.0),278.0,2445.0,10.20932794711715
2038,3.0,(df['Family'] >= 2) & (df['Education'] >= 1) & (df['Experience'] >= 14.0),242.0,2134.0,10.185185185185185
2039,3.0,(df['Family'] >= 2) & (df['Education'] >= 1) & (df['Experience'] >= 19.0),204.0,1744.0,10.472279260780287
2040,3.0,(df['Family'] >= 2) & (df['Education'] >= 1) & (df['Experience'] >= 24.0),150.0,1303.0,10.323468685478321
2041,3.0,(df['Family'] >= 2) & (df['Education'] >= 1) & (df['Experience'] >= 29.0),107.0,931.0,10.308285163776493
2042,3.0,(df['Family'] >= 2) & (df['Education'] >= 1) & (df['Experience'] >= 33.0),67.0,579.0,10.371517027863778
2043,3.0,(df['Family'] >= 2) & (df['Education'] >= 1) & (df['Experience'] >= 38.0),24.0,169.0,12.435233160621761
2044,3.0,(df['Family'] >= 2) & (df['Education'] >= 2) & (df['Experience'] >= 0.0),289.0,1821.0,13.696682464454977
2045,3.0,(df['Family'] >= 2) & (df['Education'] >= 2) & (df['Experience'] >= 5.0),258.0,1632.0,13.65079365079365
2046,3.0,(df['Family'] >= 2) & (df['Education'] >= 2) & (df['Experience'] >= 10.0),211.0,1425.0,12.897310513447433
2047,3.0,(df['Family'] >= 2) & (df['Education'] >= 2) & (df['Experience'] >= 14.0),184.0,1242.0,12.903225806451612
2048,3.0,(df['Family'] >= 2) & (df['Education'] >= 2) & (df['Experience'] >= 19.0),158.0,1022.0,13.389830508474576
2049,3.0,(df['Family'] >= 2) & (df['Education'] >= 2) & (df['Experience'] >= 24.0),118.0,770.0,13.288288288288289
2050,3.0,(df['Family'] >= 2) & (df['Education'] >= 2) & (df['Experience'] >= 29.0),84.0,525.0,13.793103448275861
2051,3.0,(df['Family'] >= 2) & (df['Education'] >= 2) & (df['Experience'] >= 33.0),53.0,321.0,14.171122994652407
2052,3.0,(df['Family'] >= 2) & (df['Education'] >= 2) & (df['Experience'] >= 38.0),17.0,109.0,13.492063492063492
2053,3.0,(df['Family'] >= 2) & (df['Education'] >= 3) & (df['Experience'] >= 0.0),147.0,886.0,14.230396902226525
2054,3.0,(df['Family'] >= 2) & (df['Education'] >= 3) & (df['Experience'] >= 5.0),133.0,792.0,14.378378378378379
2055,3.0,(df['Family'] >= 2) & (df['Education'] >= 3) & (df['Experience'] >= 10.0),111.0,717.0,13.405797101449277
2056,3.0,(df['Family'] >= 2) & (df['Education'] >= 3) & (df['Experience'] >= 14.0),98.0,637.0,13.333333333333334
2057,3.0,(df['Family'] >= 2) & (df['Education'] >= 3) & (df['Experience'] >= 19.0),86.0,526.0,14.052287581699346
2058,3.0,(df['Family'] >= 2) & (df['Education'] >= 3) & (df['Experience'] >= 24.0),65.0,388.0,14.348785871964681
2059,3.0,(df['Family'] >= 2) & (df['Education'] >= 3) & (df['Experience'] >= 29.0),48.0,272.0,15.0
2060,3.0,(df['Family'] >= 2) & (df['Education'] >= 3) & (df['Experience'] >= 33.0),28.0,163.0,14.659685863874344
2061,3.0,(df['Family'] >= 2) & (df['Education'] >= 3) & (df['Experience'] >= 38.0),9.0,50.0,15.254237288135593
2062,3.0,(df['Family'] >= 3) & (df['Education'] >= 1) & (df['Experience'] >= 0.0),267.0,1965.0,11.96236559139785
2063,3.0,(df['Family'] >= 3) & (df['Education'] >= 1) & (df['Experience'] >= 5.0),234.0,1741.0,11.848101265822784
2064,3.0,(df['Family'] >= 3) & (df['Education'] >= 1) & (df['Experience'] >= 10.0),199.0,1491.0,11.775147928994082
2065,3.0,(df['Family'] >= 3) & (df['Education'] >= 1) & (df['Experience'] >= 14.0),170.0,1291.0,11.63586584531143
2066,3.0,(df['Family'] >= 3) & (df['Education'] >= 1) & (df['Experience'] >= 19.0),142.0,1075.0,11.668036154478227
2067,3.0,(df['Family'] >= 3) & (df['Education'] >= 1) & (df['Experience'] >= 24.0),99.0,812.0,10.867178924259056
2068,3.0,(df['Family'] >= 3) & (df['Education'] >= 1) & (df['Experience'] >= 29.0),72.0,567.0,11.267605633802818
2069,3.0,(df['Family'] >= 3) & (df['Education'] >= 1) & (df['Experience'] >= 33.0),45.0,355.0,11.25
2070,3.0,(df['Family'] >= 3) & (df['Education'] >= 1) & (df['Experience'] >= 38.0),17.0,111.0,13.28125
2071,3.0,(df['Family'] >= 3) & (df['Education'] >= 2) & (df['Experience'] >= 0.0),187.0,1284.0,12.712440516655338
2072,3.0,(df['Family'] >= 3) & (df['Education'] >= 2) & (df['Experience'] >= 5.0),162.0,1140.0,12.442396313364055
2073,3.0,(df['Family'] >= 3) & (df['Education'] >= 2) & (df['Experience'] >= 10.0),134.0,992.0,11.900532859680284
2074,3.0,(df['Family'] >= 3) & (df['Education'] >= 2) & (df['Experience'] >= 14.0),114.0,854.0,11.776859504132231
2075,3.0,(df['Family'] >= 3) & (df['Education'] >= 2) & (df['Experience'] >= 19.0),97.0,712.0,11.990111248454882
2076,3.0,(df['Family'] >= 3) & (df['Education'] >= 2) & (df['Experience'] >= 24.0),68.0,538.0,11.221122112211221
2077,3.0,(df['Family'] >= 3) & (df['Education'] >= 2) & (df['Experience'] >= 29.0),50.0,370.0,11.904761904761903
2078,3.0,(df['Family'] >= 3) & (df['Education'] >= 2) & (df['Experience'] >= 33.0),32.0,234.0,12.030075187969924
2079,3.0,(df['Family'] >= 3) & (df['Education'] >= 2) & (df['Experience'] >= 38.0),11.0,87.0,11.224489795918368
2080,3.0,(df['Family'] >= 3) & (df['Education'] >= 3) & (df['Experience'] >= 0.0),95.0,564.0,14.41578148710167
2081,3.0,(df['Family'] >= 3) & (df['Education'] >= 3) & (df['Experience'] >= 5.0),84.0,498.0,14.432989690721648
2082,3.0,(df['Family'] >= 3) & (df['Education'] >= 3) & (df['Experience'] >= 10.0),69.0,449.0,13.320463320463322
2083,3.0,(df['Family'] >= 3) & (df['Education'] >= 3) & (df['Experience'] >= 14.0),59.0,385.0,13.288288288288289
2084,3.0,(df['Family'] >= 3) & (df['Education'] >= 3) & (df['Experience'] >= 19.0),51.0,311.0,14.088397790055248
2085,3.0,(df['Family'] >= 3) & (df['Education'] >= 3) & (df['Experience'] >= 24.0),35.0,222.0,13.618677042801556
2086,3.0,(df['Family'] >= 3) & (df['Education'] >= 3) & (df['Experience'] >= 29.0),26.0,153.0,14.52513966480447
2087,3.0,(df['Family'] >= 3) & (df['Education'] >= 3) & (df['Experience'] >= 33.0),15.0,94.0,13.761467889908257
2088,3.0,(df['Family'] >= 3) & (df['Education'] >= 3) & (df['Experience'] >= 38.0),5.0,29.0,14.705882352941178
2089,3.0,(df['Family'] >= 4) & (df['Education'] >= 1) & (df['Experience'] >= 0.0),134.0,1088.0,10.965630114566286
2090,3.0,(df['Family'] >= 4) & (df['Education'] >= 1) & (df['Experience'] >= 5.0),122.0,928.0,11.619047619047619
2091,3.0,(df['Family'] >= 4) & (df['Education'] >= 1) & (df['Experience'] >= 10.0),103.0,764.0,11.8800461361015
2092,3.0,(df['Family'] >= 4) & (df['Education'] >= 1) & (df['Experience'] >= 14.0),89.0,667.0,11.772486772486772
2093,3.0,(df['Family'] >= 4) & (df['Education'] >= 1) & (df['Experience'] >= 19.0),78.0,578.0,11.890243902439025
2094,3.0,(df['Family'] >= 4) & (df['Education'] >= 1) & (df['Experience'] >= 24.0),56.0,434.0,11.428571428571429
2095,3.0,(df['Family'] >= 4) & (df['Education'] >= 1) & (df['Experience'] >= 29.0),40.0,289.0,12.158054711246201
2096,3.0,(df['Family'] >= 4) & (df['Education'] >= 1) & (df['Experience'] >= 33.0),25.0,174.0,12.562814070351758
2097,3.0,(df['Family'] >= 4) & (df['Education'] >= 1) & (df['Experience'] >= 38.0),10.0,52.0,16.129032258064516
2098,3.0,(df['Family'] >= 4) & (df['Education'] >= 2) & (df['Experience'] >= 0.0),94.0,716.0,11.604938271604938
2099,3.0,(df['Family'] >= 4) & (df['Education'] >= 2) & (df['Experience'] >= 5.0),84.0,613.0,12.051649928263988
2100,3.0,(df['Family'] >= 4) & (df['Education'] >= 2) & (df['Experience'] >= 10.0),67.0,503.0,11.75438596491228
2101,3.0,(df['Family'] >= 4) & (df['Education'] >= 2) & (df['Experience'] >= 14.0),57.0,433.0,11.63265306122449
2102,3.0,(df['Family'] >= 4) & (df['Education'] >= 2) & (df['Experience'] >= 19.0),51.0,380.0,11.832946635730858
2103,3.0,(df['Family'] >= 4) & (df['Education'] >= 2) & (df['Experience'] >= 24.0),35.0,289.0,10.802469135802468
2104,3.0,(df['Family'] >= 4) & (df['Education'] >= 2) & (df['Experience'] >= 29.0),25.0,202.0,11.013215859030836
2105,3.0,(df['Family'] >= 4) & (df['Education'] >= 2) & (df['Experience'] >= 33.0),15.0,121.0,11.029411764705882
2106,3.0,(df['Family'] >= 4) & (df['Education'] >= 2) & (df['Experience'] >= 38.0),5.0,49.0,9.25925925925926
2107,3.0,(df['Family'] >= 4) & (df['Education'] >= 3) & (df['Experience'] >= 0.0),46.0,335.0,12.073490813648293
2108,3.0,(df['Family'] >= 4) & (df['Education'] >= 3) & (df['Experience'] >= 5.0),41.0,282.0,12.693498452012383
2109,3.0,(df['Family'] >= 4) & (df['Education'] >= 3) & (df['Experience'] >= 10.0),33.0,247.0,11.785714285714285
2110,3.0,(df['Family'] >= 4) & (df['Education'] >= 3) & (df['Experience'] >= 14.0),28.0,208.0,11.864406779661017
2111,3.0,(df['Family'] >= 4) & (df['Education'] >= 3) & (df['Experience'] >= 19.0),23.0,179.0,11.386138613861387
2112,3.0,(df['Family'] >= 4) & (df['Education'] >= 3) & (df['Experience'] >= 24.0),15.0,111.0,11.904761904761903
2113,3.0,(df['Family'] >= 4) & (df['Education'] >= 3) & (df['Experience'] >= 29.0),12.0,72.0,14.285714285714285
2114,3.0,(df['Family'] >= 4) & (df['Education'] >= 3) & (df['Experience'] >= 33.0),6.0,35.0,14.634146341463413
2115,3.0,(df['Family'] >= 4) & (df['Education'] >= 3) & (df['Experience'] >= 38.0),2.0,7.0,22.22222222222222
2116,3.0,(df['Family'] >= 1) & (df['Education'] >= 1) & (df['Income'] >= 7.0),480.0,4520.0,9.6
2117,3.0,(df['Family'] >= 1) & (df['Education'] >= 1) & (df['Income'] >= 62.0),479.0,2132.0,18.345461509000383
2118,3.0,(df['Family'] >= 1) & (df['Education'] >= 1) & (df['Income'] >= 116.0),381.0,541.0,41.3232104121475
2119,3.0,(df['Family'] >= 1) & (df['Education'] >= 1) & (df['Income'] >= 170.0),139.0,122.0,53.25670498084292
2120,3.0,(df['Family'] >= 1) & (df['Education'] >= 2) & (df['Income'] >= 7.0),387.0,2517.0,13.326446280991735
2121,3.0,(df['Family'] >= 1) & (df['Education'] >= 2) & (df['Income'] >= 62.0),387.0,923.0,29.541984732824428
2122,3.0,(df['Family'] >= 1) & (df['Education'] >= 2) & (df['Income'] >= 116.0),314.0,0.0,100.0
2123,3.0,(df['Family'] >= 1) & (df['Education'] >= 2) & (df['Income'] >= 170.0),117.0,0.0,100.0
2124,3.0,(df['Family'] >= 1) & (df['Education'] >= 3) & (df['Income'] >= 7.0),205.0,1296.0,13.657561625582945
2125,3.0,(df['Family'] >= 1) & (df['Education'] >= 3) & (df['Income'] >= 62.0),205.0,491.0,29.454022988505745
2126,3.0,(df['Family'] >= 1) & (df['Education'] >= 3) & (df['Income'] >= 116.0),168.0,0.0,100.0
2127,3.0,(df['Family'] >= 1) & (df['Education'] >= 3) & (df['Income'] >= 170.0),60.0,0.0,100.0
2128,3.0,(df['Family'] >= 2) & (df['Education'] >= 1) & (df['Income'] >= 7.0),373.0,3155.0,10.572562358276643
2129,3.0,(df['Family'] >= 2) & (df['Education'] >= 1) & (df['Income'] >= 62.0),372.0,1426.0,20.689655172413794
2130,3.0,(df['Family'] >= 2) & (df['Education'] >= 1) & (df['Income'] >= 116.0),300.0,273.0,52.35602094240838
2131,3.0,(df['Family'] >= 2) & (df['Education'] >= 1) & (df['Income'] >= 170.0),108.0,68.0,61.36363636363637
2132,3.0,(df['Family'] >= 2) & (df['Education'] >= 2) & (df['Income'] >= 7.0),289.0,1821.0,13.696682464454977
2133,3.0,(df['Family'] >= 2) & (df['Education'] >= 2) & (df['Income'] >= 62.0),289.0,670.0,30.13555787278415
2134,3.0,(df['Family'] >= 2) & (df['Education'] >= 2) & (df['Income'] >= 116.0),233.0,0.0,100.0
2135,3.0,(df['Family'] >= 2) & (df['Education'] >= 2) & (df['Income'] >= 170.0),86.0,0.0,100.0
2136,3.0,(df['Family'] >= 2) & (df['Education'] >= 3) & (df['Income'] >= 7.0),147.0,886.0,14.230396902226525
2137,3.0,(df['Family'] >= 2) & (df['Education'] >= 3) & (df['Income'] >= 62.0),147.0,348.0,29.6969696969697
2138,3.0,(df['Family'] >= 2) & (df['Education'] >= 3) & (df['Income'] >= 116.0),119.0,0.0,100.0
2139,3.0,(df['Family'] >= 2) & (df['Education'] >= 3) & (df['Income'] >= 170.0),41.0,0.0,100.0
2140,3.0,(df['Family'] >= 3) & (df['Education'] >= 1) & (df['Income'] >= 7.0),267.0,1965.0,11.96236559139785
2141,3.0,(df['Family'] >= 3) & (df['Education'] >= 1) & (df['Income'] >= 62.0),267.0,755.0,26.125244618395303
2142,3.0,(df['Family'] >= 3) & (df['Education'] >= 1) & (df['Income'] >= 116.0),214.0,0.0,100.0
2143,3.0,(df['Family'] >= 3) & (df['Education'] >= 1) & (df['Income'] >= 170.0),72.0,0.0,100.0
2144,3.0,(df['Family'] >= 3) & (df['Education'] >= 2) & (df['Income'] >= 7.0),187.0,1284.0,12.712440516655338
2145,3.0,(df['Family'] >= 3) & (df['Education'] >= 2) & (df['Income'] >= 62.0),187.0,489.0,27.662721893491128
2146,3.0,(df['Family'] >= 3) & (df['Education'] >= 2) & (df['Income'] >= 116.0),147.0,0.0,100.0
2147,3.0,(df['Family'] >= 3) & (df['Education'] >= 2) & (df['Income'] >= 170.0),50.0,0.0,100.0
2148,3.0,(df['Family'] >= 3) & (df['Education'] >= 3) & (df['Income'] >= 7.0),95.0,564.0,14.41578148710167
2149,3.0,(df['Family'] >= 3) & (df['Education'] >= 3) & (df['Income'] >= 62.0),95.0,236.0,28.700906344410875
2150,3.0,(df['Family'] >= 3) & (df['Education'] >= 3) & (df['Income'] >= 116.0),76.0,0.0,100.0
2151,3.0,(df['Family'] >= 3) & (df['Education'] >= 3) & (df['Income'] >= 170.0),28.0,0.0,100.0
2152,3.0,(df['Family'] >= 4) & (df['Education'] >= 1) & (df['Income'] >= 7.0),134.0,1088.0,10.965630114566286
2153,3.0,(df['Family'] >= 4) & (df['Education'] >= 1) & (df['Income'] >= 62.0),134.0,408.0,24.723247232472325
2154,3.0,(df['Family'] >= 4) & (df['Education'] >= 1) & (df['Income'] >= 116.0),103.0,0.0,100.0
2155,3.0,(df['Family'] >= 4) & (df['Education'] >= 1) & (df['Income'] >= 170.0),31.0,0.0,100.0
2156,3.0,(df['Family'] >= 4) & (df['Education'] >= 2) & (df['Income'] >= 7.0),94.0,716.0,11.604938271604938
2157,3.0,(df['Family'] >= 4) & (df['Education'] >= 2) & (df['Income'] >= 62.0),94.0,293.0,24.289405684754524
2158,3.0,(df['Family'] >= 4) & (df['Education'] >= 2) & (df['Income'] >= 116.0),73.0,0.0,100.0
2159,3.0,(df['Family'] >= 4) & (df['Education'] >= 2) & (df['Income'] >= 170.0),23.0,0.0,100.0
2160,3.0,(df['Family'] >= 4) & (df['Education'] >= 3) & (df['Income'] >= 7.0),46.0,335.0,12.073490813648293
2161,3.0,(df['Family'] >= 4) & (df['Education'] >= 3) & (df['Income'] >= 62.0),46.0,151.0,23.3502538071066
2162,3.0,(df['Family'] >= 4) & (df['Education'] >= 3) & (df['Income'] >= 116.0),38.0,0.0,100.0
2163,3.0,(df['Family'] >= 4) & (df['Education'] >= 3) & (df['Income'] >= 170.0),12.0,0.0,100.0
2164,3.0,(df['Family'] >= 1) & (df['Education'] >= 1) & (df['Mortgage'] >= -2.0),480.0,4520.0,9.6
2165,3.0,(df['Family'] >= 1) & (df['Education'] >= 1) & (df['Mortgage'] >= 159.0),131.0,593.0,18.093922651933703
